match_id,kick_off,team_home,team_away,score_home_full,score_away_full,score_home_half,score_away_half
S2425_GD27_G1,2025-02-28,AC Florenz,US Lecce,,,,
S2425_GD27_G2,2025-03-01,Atalanta Bergamo,FC Venedig,,,,
S2425_GD27_G3,2025-03-01,SSC Neapel,Inter Mailand,,,,
S2425_GD27_G4,2025-03-01,Udinese Calcio,Parma Calcio,,,,
S2425_GD27_G5,2025-03-02,AC Monza,FC Turin,,,,
S2425_GD27_G6,2025-03-02,FC Bologna,Cagliari Calcio,,,,
S2425_GD27_G7,2025-03-02,CFC Genua 1893,FC Empoli,,,,
S2425_GD27_G8,2025-03-02,AS Rom,Como 1907,,,,
S2425_GD27_G9,2025-03-02,AC Mailand,Lazio Rom,,,,
S2425_GD27_G10,2025-03-03,Juventus Turin,Hellas Verona,,,,
S2425_GD27_G11,2025-02-27,FC Bologna,AC Mailand,,,,
S2425_GD28_G1,2025-03-07,Cagliari Calcio,CFC Genua 1893,,,,
S2425_GD28_G2,2025-03-08,Como 1907,FC Venedig,,,,
S2425_GD28_G3,2025-03-08,Parma Calcio,FC Turin,,,,
S2425_GD28_G4,2025-03-08,US Lecce,AC Mailand,,,,
S2425_GD28_G5,2025-03-08,Inter Mailand,AC Monza,,,,
S2425_GD28_G6,2025-03-09,Hellas Verona,FC Bologna,,,,
S2425_GD28_G7,2025-03-09,SSC Neapel,AC Florenz,,,,
S2425_GD28_G8,2025-03-09,FC Empoli,AS Rom,,,,
S2425_GD28_G9,2025-03-09,Juventus Turin,Atalanta Bergamo,,,,
S2425_GD28_G10,2025-03-10,Lazio Rom,Udinese Calcio,,,,
S2425_GD29_G1,2025-03-14,CFC Genua 1893,US Lecce,,,,
S2425_GD29_G2,2025-03-15,AC Monza,Parma Calcio,,,,
S2425_GD29_G3,2025-03-15,Udinese Calcio,Hellas Verona,,,,
S2425_GD29_G4,2025-03-15,AC Mailand,Como 1907,,,,
S2425_GD29_G5,2025-03-15,FC Turin,FC Empoli,,,,
S2425_GD29_G6,2025-03-16,FC Venedig,SSC Neapel,,,,
S2425_GD29_G7,2025-03-16,FC Bologna,Lazio Rom,,,,
